"Operator","Pics.Batch","Sample","ImageTitle","Status","CellLine","Day","Treatment","Volume","ESR","SurfaceArea","Flatness","Elongation","Sphericity","IntensityRHF","VolumeRHF","NbCc","VCcMean","VCcTotal","DistanceBorderToBorderMean","DistanceBarycenterToBorderMean","AspectRatio","Circularity","VoxelVolume","MinIntensityNuc","MaxIntensityNuc","AvgIntensityNuc","StdIntensityNuc"
"SA","1","101_CS_63x_tile_z","34_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","794.595","5.74582515363093","768.259999999722","2.3190119531789","1.71635783870603","0.157477808904676","0.0596468573760893","0.0243834909608039","30","0.645833333333333","19.375","0.901217738787333","1.83020340601603","1.71243215959647","0.682564674383743","0.005","1","116","24.4820694819373","21.8789530294973"
"SA","1","101_CS_63x_tile_z","36_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","484.82","4.87338406949364","532.799999999887","2.990626106098","1.14740157838886","0.175760297666081","0.103195490512034","0.0465636731157955","39","0.578846153846154","22.575","0.532608004411061","1.34774727943616","1.14521144590969","0.836225873732655","0.005","1","131","22.7398931562229","17.8383441070044"
"SA","1","101_CS_63x_tile_z","38_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","393.065","4.54421204319062","489.999999999898","3.27089303455831","1.34796279719597","0.148522715840115","0.0974130011699433","0.0505005533435945","35","0.567142857142857","19.85","0.217626732076917","1.22949246406555","1.34822201111034","0.799519958067719","0.005","1","99","22.7784844745779","14.3028563795367"
"SA","1","101_CS_63x_tile_z","39_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","762.73","5.667968218773","748.219999999738","2.41920321981906","1.37136200956483","0.157074646982358","0.0794210064376242","0.0297680699592254","39","0.582179487179487","22.7049999999999","0.992598846631172","1.88589052787193","1.36931562368699","0.78100815950371","0.005","0","90","15.5279784458458","14.3927753390127"
"SA","1","101_CS_63x_tile_z","3_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","835.855","5.84360401053312","836.739999999625","3.27366610763196","1.59813960637497","0.134878482353436","0.0896812611945354","0.0410059160978877","59","0.58093220338983","34.275","0.60880701319646","1.42253406007411","1.5758595373516","0.796003579386738","0.005","1","80","18.1882383906299","14.3274982437329"
"SA","1","101_CS_63x_tile_z","5_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","625.02","5.30397866430077","684.319999999781","2.43514621119606","1.45537382311029","0.137867691540328","0.0915880409833521","0.0327589517135451","31","0.660483870967742","20.475","0.877441054774869","1.73028934540287","1.43707760129244","0.719348248599311","0.005","0","127","17.5238232376563","15.6983909330797"
"SA","1","101_CS_63x_tile_z","6_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","566.32","5.13244648786203","602.539999999822","2.93135019487443","1.35533582114865","0.165812979317323","0.0546720921712152","0.0198297782172623","25","0.4492","11.23","0.714954055786132","1.54815079689025","1.35499226898027","0.823228920305029","0.005","1","122","18.1216273484955","14.623469136493"
"SA","1","101_CS_63x_tile_z","7_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","655.61","5.38913405268526","689.959999999778","2.75721627619548","1.2225874237066","0.148003426942415","0.0826219789972673","0.0299415811229236","36","0.545277777777777","19.63","0.913728410667843","1.81667782465616","1.21684942785801","0.743131646832282","0.005","0","81","11.6350498009487","10.3471787949553"
"SA","1","101_CS_63x_tile_z","8_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","552.515","5.09039895686536","624.979999999817","2.89637899139294","1.34892753828139","0.141430201576394","0.0960994378920676","0.0365600933911296","39","0.517948717948718","20.2","0.65564678693429","1.40691997821514","1.34776034950052","0.729712427002561","0.005","0","109","14.7678615060224","12.9408610466813"
"SA","1","101_CS_63x_tile_z","9_cropped_101_CS_63x_tile_z.czi.tif","siNTC","CTRL","0","siNTC","534.95","5.03587406420273","565.539999999874","2.39791748335356","1.54173071357032","0.178932312470173","0.121476885535068","0.0523319936442658","42","0.666547619047619","27.995","0.731104334195455","1.47362183275676","1.52959357660983","0.732619538512567","0.005","1","115","20.3156743620899","17.8273449442891"
"SA","1","102_CS_63x_tile_z1","10_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","716.69","5.55154986606455","711.83999999977","2.39860127877937","1.3871073859307","0.161052658388043","0.0544713011722083","0.0188575255689349","26","0.519807692307692","13.515","0.936394582344935","1.82291836738586","1.38068913763245","0.776803088511817","0.005","1","125","16.3258382285227","13.4987148232577"
"SA","1","102_CS_63x_tile_z1","11_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","947.695","6.09340428077466","943.639999999523","3.28041098504037","1.52208936191802","0.120884474329183","0.0559895707425219","0.0235940888154944","40","0.559","22.36","0.578659170269966","1.42161172866821","1.50293166590326","0.705492839528984","0.005","1","65","12.003534892555","8.12939950153187"
"SA","1","102_CS_63x_tile_z1","12_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","641.01","5.34882922070033","668.379999999805","2.1114101240065","1.73364472017977","0.155636567834108","0.0655782215604214","0.0217859315767304","25","0.5586","13.965","0.915848944664001","1.76914798736572","1.71754712850965","0.722606490158695","0.005","1","101","15.4845946241088","12.3869447900699"
"SA","1","102_CS_63x_tile_z1","14_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","958.32","6.1160915957804","936.919999999545","2.89031334720998","1.57632209183236","0.126289123209845","0.0269395976175367","0.0106384088822105","20","0.50975","10.195","0.917960143089294","1.79258037805557","1.54867440858823","0.729788336271109","0.005","0","95","15.5319674012855","12.6755312223649"
"SA","1","102_CS_63x_tile_z1","15_cropped_102_CS_63x_tile_z1.czi.tif","siHNRNPU","CTRL","0","siHNRNPU","903.9","5.99805705229311","866.679999999604","3.36637322501313","1.16766517344827","0.141943928994086","0.0727128633289044","0.028836154441863","48","0.543020833333333","26.065","0.610311605036258","1.4611751427253","1.15973587219292","0.79690736195988","0.005","0","69","12.2774145370063","8.5723507132942"
